state,confirmed,deaths,recovered
New York,26376,232,0
New Jersey,3030,18,0
California,2617,54,0
Washington,2421,125,0
Michigan,1795,24,0
Illinois,1537,12,0
Florida,1467,23,0
Louisiana,1376,45,0
Massachusetts,1074,2,0
Georgia,1020,15,0
Texas,1001,12,0
Pennsylvania,946,8,0
Colorado,894,8,0
Tennessee,735,2,0
Connecticut,618,12,0
Ohio,567,8,0
North Carolina,508,0,0
Wisconsin,481,5,0
Indiana,369,12,0
Maryland,349,4,0
South Carolina,342,7,0
Arizona,326,3,0
Mississippi,320,1,0
Virginia,305,9,0
Utah,298,1,0
Missouri,278,8,0
Nevada,269,4,0
Minnesota,262,1,0
Alabama,242,0,0
Arkansas,218,1,0
Oregon,210,8,0
District of Columbia,187,2,0
Kentucky,144,4,0
Iowa,123,1,0
Rhode Island,101,0,0
Maine,118,0,0
New Hampshire,108,1,0
Oklahoma,106,3,0
Delaware,104,0,0
Kansas,100,2,0
New Mexico,100,0,0
Vermont,95,5,0
Hawaii,70,1,0
Idaho,81,0,0
Nebraska,71,0,0
Montana,51,0,0
Alaska,42,0,0
Puerto Rico,39,2,0
West Virginia,39,0,0
North Dakota,36,0,0
Wyoming,34,0,0
Guam,32,1,0
South Dakota,30,1,0
